"sex";"age";"unit";"geo";"X2013"
"T";"TOTAL";"PC_GDP";"AT";1.86
"T";"TOTAL";"PC_GDP";"BE";1.49
"T";"TOTAL";"PC_GDP";"BG";0.68
"T";"TOTAL";"PC_GDP";"CY";1.58
"T";"TOTAL";"PC_GDP";"CZ";0.93
"T";"TOTAL";"PC_GDP";"DE";1.35
"T";"TOTAL";"PC_GDP";"DK";NA
"T";"TOTAL";"PC_GDP";"EE";1.39
"T";"TOTAL";"PC_GDP";"ES";0.97
"T";"TOTAL";"PC_GDP";"FI";2.11
"T";"TOTAL";"PC_GDP";"FR";NA
"T";"TOTAL";"PC_GDP";"HU";0.93
"T";"TOTAL";"PC_GDP";"IE";1.26
"T";"TOTAL";"PC_GDP";"IT";0.84
"T";"TOTAL";"PC_GDP";"LT";1.34
"T";"TOTAL";"PC_GDP";"LU";NA
"T";"TOTAL";"PC_GDP";"LV";0.66
"T";"TOTAL";"PC_GDP";"MT";1.6
"T";"TOTAL";"PC_GDP";"NL";1.75
"T";"TOTAL";"PC_GDP";"PL";1.22
"T";"TOTAL";"PC_GDP";"PT";0.92
"T";"TOTAL";"PC_GDP";"RO";0.73
"T";"TOTAL";"PC_GDP";"SE";2.03
"T";"TOTAL";"PC_GDP";"SI";1.15
"T";"TOTAL";"PC_GDP";"SK";0.99
"T";"TOTAL";"PC_GDP";"UK";1.56
