"size","max_diss","av_diss","diameter","separation"
3,1.01556352842728,0.66537081903726,1.09988845716576,1.88597134378898
1,0,0,0,2.91945955495376
7,1.69805090151679,1.15356636097598,2.17640520081269,1.28668999596096
8,2.30788887176276,1.512316205749,6.61064493738228,0.798383835108789
10,2.08268976035874,1.45823711687751,5.35048479835841,1.41378966487671
9,2.5325605232756,1.33368648158701,2.88783529317506,1.41378966487671
3,1.77594309713715,0.840713622024174,2.26271465587797,1.55648753126805
5,1.37630798642487,0.722517755468745,2.00627484835702,1.28668999596096
2,1.86542858172921,0.932714290864603,1.86542858172921,1.48289602028433
5,2.78113560323964,1.37272714052074,3.10706437407501,1.54275792461447
1,0,0,0,2.76044112185766
4,1.78164861225196,1.15529473638513,2.01726191391064,1.65210814362603
2,1.84503444441169,0.922517222205844,1.84503444441169,2.04481708637822
2,1.34618666367473,0.673093331837363,1.34618666367473,2.00259366113227
5,2.53639965275578,1.50844348205863,3.49628038641881,1.65873996105993
2,2.62454010002989,1.31227005001495,2.62454010002989,2.57562078332603
8,1.58034365418393,0.978925046794548,2.46134815628108,1.32338015132969
2,1.81667313362841,0.908336566814204,1.81667313362841,2.36784307345837
3,2.55589820293112,1.60609208994268,4.00689781151506,2.57562078332603
1,0,0,0,3.28484252161084
10,2.60612796613391,1.00482010192142,3.54918877737063,0.798383835108789
3,1.59648758049414,0.801886816814099,1.66165621682767,2.13809533810733
2,0.86809810358692,0.43404905179346,0.86809810358692,2.4671589227048
