"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"pop_Total",28920,935500,1476000,1875000,2257000,12090000
"pop_Y0-14",11.04,13.83,15.28,15.64,16.86,44.13
"pop_Y15-24",7.057,10.55,11.39,11.27,12.13,16.44
"pop_Y25-64",36.82,51.64,54.38,53.98,55.93,61.18
"pop_Y65-74",1.672,9.167,10.04,9.891,10.86,13.38
"pop_YGE75",0.9382,7.69,9.348,9.219,10.63,15.1
"emp_Y25-64_ED0-2",1.588,7.716,11.12,12.48,15.74,43.41
"emp_Y25-64_ED3-4",10.26,25.66,34.34,34.13,43.02,59.94
"emp_Y25-64_ED5-8",8.965,17.55,22.99,23.95,29.21,55.1
"emp_FT",21,42.87,45.69,45.44,48.12,60.9
"emp_PT",2.045,6.477,10.47,11.4,16.89,28.32
"emp_Y25-64",32.8,65.85,72.8,70.77,77.53,103.5
"emp_Y25-64_NaceG-I",6.105,14.25,15.9,16.07,17.62,28.61
"emp_Y25-64_NaceO-Q",9.081,15.32,20.51,19.65,23.27,34.25
"GDP",8400,20120,24450,26700,30880,148000
