"","Sum Sq","Df","F value","Pr(>F)"
"pop_Y0_14",850.881441901631,1,27.7218061373524,3.19044677313912e-07
"pop_YGE75",313.265607563972,1,10.20622617292,0.00159398933455199
"emp_Y25_64_ED0_2",263.02922086668,1,8.56951945388406,0.00375844524050234
"emp_Y25_64_ED3_4",258.61305583621,1,8.42564033651651,0.00405619991064714
"emp_Y25_64_ED5_8",240.409522969347,1,7.83256733680188,0.00556288229718802
"emp_PT",186.948334205502,1,6.09079623004051,0.0143115471828453
"emp_Y25_64",238.139693346048,1,7.7586160508962,0.0057874489374637
"emp_Y25_64_NaceO_Q",731.708630833395,1,23.8391435211675,1.94986319973141e-06
"GDP",289.412663004719,1,9.42909475094562,0.0023903409704913
"Residuals",7120.9102878472,232,NA,NA
