"","model","aicc","weights"
"1","lmktm_ED3_4 ~ 1 + pop_Y0_14 + pop_Y15_24 + pop_Y25_64 + pop_Y65_74 + pop_YGE75 + emp_Y25_64_ED3_4 + emp_Y25_64_ED5_8 + emp_PT",1480.11194315787,0.0334020195445803
"2","lmktm_ED3_4 ~ 1 + pop_Y0_14 + pop_Y15_24 + pop_Y65_74 + pop_YGE75 + emp_Y25_64_ED3_4 + emp_Y25_64_ED5_8 + emp_PT",1480.32965445931,0.0299569308807889
"3","lmktm_ED3_4 ~ 1 + pop_Y0_14 + pop_Y15_24 + pop_YGE75 + emp_Y25_64_ED3_4 + emp_Y25_64_ED5_8 + emp_PT",1480.54231362862,0.0269351231486308
"4","lmktm_ED3_4 ~ 1 + pop_Total + pop_Y0_14 + pop_Y15_24 + pop_Y25_64 + pop_Y65_74 + pop_YGE75 + emp_Y25_64_ED3_4 + emp_Y25_64_ED5_8 + emp_PT",1481.12975305062,0.0200797414186984
"5","lmktm_ED3_4 ~ 1 + pop_Y0_14 + pop_Y15_24 + pop_Y25_64 + pop_Y65_74 + pop_YGE75 + emp_Y25_64_ED3_4 + emp_Y25_64_ED5_8 + emp_FT + emp_PT",1481.17193330839,0.0196606915248317
"6","lmktm_ED3_4 ~ 1 + pop_Y0_14 + pop_Y15_24 + pop_Y65_74 + pop_YGE75 + emp_Y25_64_ED3_4 + emp_Y25_64_ED5_8 + emp_FT + emp_PT",1481.23862367873,0.0190159120146152
"7","lmktm_ED3_4 ~ 1 + pop_Total + pop_Y0_14 + pop_Y15_24 + pop_Y65_74 + pop_YGE75 + emp_Y25_64_ED3_4 + emp_Y25_64_ED5_8 + emp_PT",1481.38103177078,0.0177089835692198
"8","lmktm_ED3_4 ~ 1 + pop_Y0_14 + pop_Y15_24 + pop_Y25_64 + pop_Y65_74 + pop_YGE75 + emp_Y25_64_ED3_4 + emp_PT",1481.41540094032,0.0174072619453789
"9","lmktm_ED3_4 ~ 1 + pop_Y0_14 + pop_Y15_24 + pop_Y65_74 + pop_YGE75 + emp_Y25_64_ED3_4 + emp_PT",1481.54416542737,0.0163218586156243
"10","lmktm_ED3_4 ~ 1 + pop_Y0_14 + pop_Y15_24 + pop_YGE75 + emp_Y25_64_ED3_4 + emp_PT",1481.5489450679,0.0162828988790783
"11","lmktm_ED3_4 ~ 1 + pop_Y0_14 + pop_Y15_24 + emp_Y25_64_ED3_4 + emp_PT",1481.59947585834,0.0158766585248156
"12","lmktm_ED3_4 ~ 1 + pop_Y0_14 + pop_Y15_24 + pop_YGE75 + emp_Y25_64_ED3_4 + emp_Y25_64_ED5_8 + emp_FT + emp_PT",1481.65819723984,0.0154172856164226
"13","lmktm_ED3_4 ~ 1 + pop_Total + pop_Y0_14 + pop_Y15_24 + pop_YGE75 + emp_Y25_64_ED3_4 + emp_Y25_64_ED5_8 + emp_PT",1481.69080235708,0.0151679820782049
"14","lmktm_ED3_4 ~ 1 + pop_Total + pop_Y0_14 + pop_Y15_24 + pop_Y25_64 + pop_Y65_74 + pop_YGE75 + emp_Y25_64_ED3_4 + emp_Y25_64_ED5_8 + emp_FT + emp_PT",1481.72719556734,0.0148944723191299
"15","lmktm_ED3_4 ~ 1 + pop_Total + pop_Y0_14 + pop_Y15_24 + pop_Y65_74 + pop_YGE75 + emp_Y25_64_ED3_4 + emp_Y25_64_ED5_8 + emp_FT + emp_PT",1481.74481549767,0.0147638288640066
"16","lmktm_ED3_4 ~ 1 + pop_Y0_14 + pop_Y15_24 + pop_Y25_64 + pop_Y65_74 + pop_YGE75 + emp_Y25_64_ED3_4 + emp_Y25_64_ED5_8 + emp_FT + emp_PT + emp_Y25_64_NaceG_I",1481.82151234268,0.0142083777233891
"17","lmktm_ED3_4 ~ 1 + pop_Y0_14 + pop_Y15_24 + pop_Y25_64 + pop_Y65_74 + pop_YGE75 + emp_Y25_64_ED3_4 + emp_Y25_64_ED5_8 + emp_PT + emp_Y25_64_NaceG_I",1481.87874860139,0.0138075237352162
"18","lmktm_ED3_4 ~ 1 + pop_Y0_14 + pop_Y15_24 + pop_Y65_74 + pop_YGE75 + emp_Y25_64_ED3_4 + emp_Y25_64_ED5_8 + emp_FT + emp_PT + emp_Y25_64_NaceG_I",1481.88637231105,0.0137549916451739
"19","lmktm_ED3_4 ~ 1 + pop_Total + pop_Y0_14 + pop_Y15_24 + pop_Y25_64 + pop_Y65_74 + pop_YGE75 + emp_Y25_64_ED3_4 + emp_PT",1481.8873828892,0.0137480431538335
"20","lmktm_ED3_4 ~ 1 + pop_Total + pop_Y0_14 + pop_Y15_24 + emp_Y25_64_ED3_4 + emp_PT",1481.91800919871,0.0135391209529322
"21","lmktm_ED3_4 ~ 1 + pop_Total + pop_Y0_14 + pop_Y15_24 + pop_Y65_74 + pop_YGE75 + emp_Y25_64_ED3_4 + emp_PT",1481.95914577984,0.0132634887381737
"22","lmktm_ED3_4 ~ 1 + pop_Y0_14 + pop_Y15_24 + pop_Y25_64 + pop_Y65_74 + pop_YGE75 + emp_Y25_64_ED0_2 + emp_Y25_64_ED5_8 + emp_FT + emp_PT",1482.01075994886,0.0129255757914892
"23","lmktm_ED3_4 ~ 1 + pop_Y0_14 + pop_Y15_24 + pop_Y65_74 + pop_YGE75 + emp_Y25_64_ED0_2 + emp_Y25_64_ED5_8 + emp_FT + emp_PT",1482.05710533395,0.0126294990935116
