"","MEblack","MEgreen","MEbrown","MEblue","MEred","MEmagenta","MEyellow","MEgrey","MEblack","MEgreen","MEbrown","MEblue","MEred","MEmagenta","MEyellow","MEgrey"
"mismatch",-0.0681318681318681,0.0285714285714286,-0.389010989010989,-0.191208791208791,0.433485179807032,0.226373626373626,0.345397282306138,0.516483516483516,0.516397642206707,0.785728229425862,0.000116347609663895,0.066358984442632,1.42223994663151e-05,0.0291130965140937,0.000696810839119586,1.16139099392842e-07
"lmktm_OC0",0.168004375792883,0.077428103626285,0.769533086512182,0.725705858044473,-0.0870074131876707,0.232649537782753,-0.928989465470152,0.180056863621502,0.107457439177893,0.46069719902528,2.03282510962904e-19,1.89323029831523e-16,0.406937379253266,0.0248237095142932,4.67920811754187e-41,0.0841557042907383
"lmktm_OC1",-0.306142887993182,0.1673733800936,0.290961468413525,0.703409708906556,0.123252164022293,0.27238016637746,0.297203462463944,0.278684115098717,0.00284123689133903,0.10880350569678,0.00466249249300855,3.7803436128479e-15,0.239187812767133,0.00825752981265235,0.0038153696284972,0.00683052814225435
"lmktm_OC2",-0.301243137251872,0.241174159592717,0.420778469852798,0.712061276907922,0.139586004799371,0.326223554423396,0.280729071332068,0.250077057474057,0.00334324589008409,0.0198679650875188,2.67313479988655e-05,1.22337801670113e-15,0.182054414767523,0.00141674305740281,0.00641692720226048,0.0156238681994556
"lmktm_OC3",-0.26049219726883,0.208768975733435,0.33556989166281,0.689934789964004,0.173429199532551,0.315626490789413,0.360047627865044,0.190724404931792,0.011674970518294,0.0446164264221637,0.00100813353055102,2.02588226138862e-14,0.0964136784095012,0.00205748065731937,0.00039279106745776,0.067062864883294
"lmktm_OC4",-0.260693070433557,0.200215300210711,0.322658289231082,0.662540288545148,0.129078284065793,0.310180248410166,0.357842671079967,0.200628480370344,0.011608275270112,0.0543264441420082,0.00160862735654583,4.71482298953317e-13,0.217532291925654,0.00247962640347402,0.000428940057770205,0.0538205302809435
"lmktm_OC5",-0.246597764049166,0.257501824161816,0.26939509515017,0.700236227359271,0.437740428764693,0.454730006345366,0.544811320897544,0.149495914870824,0.0171785830456129,0.0127081160194742,0.0090203735885156,5.6607780910698e-15,1.14475858122113e-05,4.67206621085908e-06,1.64466259819272e-08,0.152648444462058
"lmktm_OC6",-0.539783374099017,-0.428887284865803,-0.713476043982365,-0.33068412150868,0.319149236850466,-0.33068412150868,-0.339739510195657,0.357406070721503,2.35773264297202e-08,1.79229263160231e-05,1.01326971553106e-15,0.00120598037701329,0.00182015517459811,0.00120598037701329,0.000863171788857342,0.000436450443065146
"lmktm_OC7",0.0649013296381703,0.361221152991421,0.184072814560676,0.338003123012244,0.668574830730319,0.640110398500364,0.587035171430687,-0.296740522231424,0.536527234190714,0.000374714018203972,0.0773536952965311,0.000921058105716354,2.42517905571507e-13,4.90805728028695e-12,6.2347413789497e-10,0.00387311124004479
"lmktm_OC8",0.207605322494431,0.409685835997199,0.655091240524337,0.434972461766736,0.538975554228299,0.670803891737807,0.370636355093857,-0.421290295909176,0.0458460542510131,4.5437687615395e-05,1.04919507601897e-12,1.31877751952611e-05,2.49682185475028e-08,1.88969962672384e-13,0.000255084524849833,2.60731574476601e-05
"lmktm_OC9",0.0510751178582097,0.413387813884891,0.262754875019005,0.308349537221013,0.667979483596989,0.626989141597342,0.493954936931106,-0.302448382686638,0.626820745538454,3.81438174087394e-05,0.0109426899508499,0.00263812458678432,2.5913475592714e-13,1.77156447593495e-11,4.86470657470344e-07,0.0032128996053407
"lmktm_ED0.2",0.211725318943343,0.439812572208151,0.397030717965013,0.452030899785868,0.771758775068397,0.81751826384976,0.663416722341103,-0.40813936168543,0.0416150421850994,1.02885277242998e-05,8.13856069820008e-05,5.40434144385232e-06,1.38028480823865e-19,1.57836826797555e-23,4.2849366278601e-13,4.88537645860421e-05
"lmktm_ED3_4",-0.477678120113424,0.209913037193775,-0.0146821879786317,0.428635387174729,0.121562290735163,0.215479593355458,0.344127058451068,0.346879894401629,1.28698062769095e-06,0.0434342988082083,0.888910901396223,1.81496951228099e-05,0.245739584104445,0.0380476874773023,0.000731377502482588,0.000658356288161865
"lmktm_ED5.8",-0.288732092371149,0.298386423171486,0.45047910281488,0.711864299735182,0.237522191683056,0.353449909453937,0.294545377297697,0.240449875644296,0.00500339106469613,0.00367129987958775,5.87293096488205e-06,1.25578619722022e-15,0.0218759876827486,0.000510216550877818,0.00415767082077568,0.0202531258060021
"lmktm_Total",-0.224230678403224,0.365964848428738,0.423699574354041,0.742615203274763,0.447603424676756,0.530646280949007,0.558303919585384,0.12460620133434,0.0307145691892709,0.000309163954033938,2.3173486009395e-05,1.59562890724008e-17,6.84399980615638e-06,4.46974937840532e-08,6.07263681508603e-09,0.234026293423126
"migrt_Total",-0.393267845095484,-0.14872991019944,-0.181340464486769,0.00236091119294615,-0.367141792266439,-0.250211616715284,-0.125708735246584,0.472744360301837,9.63534863853647e-05,0.154786118178173,0.0819317048200473,0.982081097353415,0.000294624892866976,0.0155662692002336,0.229881216411244,1.71160309079031e-06
"migrt_Y15.24",-0.468831993182098,-0.161816103668913,-0.115849537490059,0.199763066747917,-0.414759764216088,-0.235416573239488,-0.037731444882937,0.515915307829995,2.13912175886263e-06,0.121231689918133,0.268799793465045,0.0548846420805112,3.57301040119895e-05,0.0231108425165009,0.719538564561208,1.20566084361497e-07
"migrt_Y25.64",-0.271354888065446,-0.104239850385699,-0.179061997811672,-0.166080733728552,-0.324403081199676,-0.25761663340935,-0.246319847626326,0.29389971621904,0.00851288619743082,0.320043221042082,0.0859122715043523,0.111601958412355,0.00151196314777323,0.0126670283689957,0.017308334381075,0.00424484595076281
"EU_groups",0.484393028476678,0.479086997440217,0.602511023423192,0.608204801657713,0.531808887204722,0.607562888971958,0.546561946315531,0.509288434207545,1.11022302462516e-16,2.22044604925031e-16,0,0,0,0,0,0
