"module","eigenvar","p.eigenvar","meanVarTS","p.meanVarTS"
"green",0.585264426451297,0,0.138079008227855,0
"turquoise",0.547938113651055,0,0.482760959611365,0
"brown",0.457771595723716,0,0.429507261049539,0
"red",0.42730861840047,0,0.415328255232545,0
"yellow",0.4261646436699,0,0.376639905266664,0
"grey",0.383825886998243,0,0.138952507805208,9.75886038645513e-14
"magenta",0.366166651385295,0,0.355643181663493,0
"black",0.319440049664648,0,0.322023636616235,0
"blue",0.313168022165596,0,0.378162708928851,0
"pink",0.306909251388661,0,0.384081238290069,0
